Name,Award,Gender,award year,award age,Birth Country,Birth Continent,award country,award continent
Arno Allan Penzias,Physics,M,1978,46,Germany,Europe,USA,North America
Robert Woodrow Wilson,Physics,M,1978,43,USA,North America,USA,North America
Pyotr Leonidovich Kapitsa,Physics,M,1978,85,Russia,Europe,Russia,Europe
Theodore W. Schultz,Economic,M,1979,78,USA,North America,USA,North America
Sir Arthur Lewis,Economic,M,1979,65,Saint Lucia,North America,USA,North America
Mother Teresa,Peace,M,1979,70,Republic of Macedonia,Europe,India,Asia
Odysseus Elytis,Literature,F,1979,69,Greece,Europe,Greece,Europe
Allan M. Cormack,Physiology or Medicine,M,1979,55,South Africa,Africa,USA,North America
Godfrey N. Hounsfield,Physiology or Medicine,F,1979,61,United Kingdom,Europe,United Kingdom,Europe
Herbert C. Brown,Chemistry,M,1979,68,United Kingdom,Europe,USA,North America
Georg Wittig,Chemistry,M,1979,83,Germany,Europe,Germany,Europe
Sheldon Lee Glashow,Physics,M,1979,48,USA,North America,USA,North America
Abdus Salam,Physics,M,1979,54,Pakistan,Asia,United Kingdom,Europe
Steven Weinberg,Physics,M,1979,47,USA,North America,USA,North America
Lawrence R. Klein,Economic,M,1980,61,USA,North America,USA,North America
Adolfo PericaRiksbank,Peace,M,1980,50,Argentina,South America,Argentina,South America
